"","GEO.Region","Operating.Airline"
"167","Europe","Icelandair"
"168","US","Independence Air"
"169","US","Independence Air"
"170","Asia","Japan Airlines"
"171","Asia","Japan Airlines"
"172","Europe","KLM Royal Dutch Airlines"
"173","Europe","KLM Royal Dutch Airlines"
"174","Asia","Korean Air Lines"
"175","Asia","Korean Air Lines"
"176","Europe","Lufthansa German Airlines"
"177","Europe","Lufthansa German Airlines"
"178","US","Mesa Airlines"
"179","US","Mesa Airlines"
"180","Mexico","Mexicana Airlines"
"181","Mexico","Mexicana Airlines"
"182","US","Midwest Airlines"
"183","US","Midwest Airlines"
"184","US","Northwest Airlines"
"185","US","Northwest Airlines"
"186","Asia","Northwest Airlines"
"187","Asia","Northwest Airlines"
"188","Asia","Philippine Airlines"
"189","Asia","Philippine Airlines"
"190","Asia","Singapore Airlines"
"191","Asia","Singapore Airlines"
"192","US","SkyWest Airlines"
"193","US","SkyWest Airlines"
"194","US","SkyWest Airlines"
"195","US","SkyWest Airlines"
"196","Canada","SkyWest Airlines"
"197","Canada","SkyWest Airlines"
"198","US","Sun Country Airlines"
"199","US","Sun Country Airlines"
"200","Central America","TACA"
"201","Central America","TACA"
"202","US","US Airways"
"203","US","US Airways"
"204","US","US Airways"
"205","US","US Airways"
"206","US","United Airlines"
"207","US","United Airlines"
"208","US","United Airlines - Pre 07/01/2013"
"209","US","United Airlines - Pre 07/01/2013"
"210","US","United Airlines - Pre 07/01/2013"
"211","US","United Airlines - Pre 07/01/2013"
"212","US","United Airlines - Pre 07/01/2013"
"213","US","United Airlines - Pre 07/01/2013"
"214","US","United Airlines - Pre 07/01/2013"
"215","US","United Airlines - Pre 07/01/2013"
"216","Asia","United Airlines - Pre 07/01/2013"
"217","Asia","United Airlines - Pre 07/01/2013"
"218","Asia","United Airlines - Pre 07/01/2013"
"219","Australia / Oceania","United Airlines - Pre 07/01/2013"
"220","Australia / Oceania","United Airlines - Pre 07/01/2013"
"221","Australia / Oceania","United Airlines - Pre 07/01/2013"
"222","Canada","United Airlines - Pre 07/01/2013"
"223","Canada","United Airlines - Pre 07/01/2013"
"224","Europe","United Airlines - Pre 07/01/2013"
"225","Europe","United Airlines - Pre 07/01/2013"
"226","Europe","United Airlines - Pre 07/01/2013"
"227","Mexico","United Airlines - Pre 07/01/2013"
"228","Mexico","United Airlines - Pre 07/01/2013"
"229","Mexico","United Airlines - Pre 07/01/2013"
"230","Europe","Virgin Atlantic"
"231","Europe","Virgin Atlantic"
"232","Canada","WestJet Airlines"
"233","Canada","WestJet Airlines"
"234","US","ATA Airlines"
"235","US","ATA Airlines"
"236","US","ATA Airlines"
"237","Canada","Air Canada "
"238","Canada","Air Canada "
"239","Asia","Air China"
"240","Asia","Air China"
"241","Europe","Air France"
"242","Europe","Air France"
"243","Australia / Oceania","Air New Zealand"
"244","Australia / Oceania","Air New Zealand"
"245","US","AirTran Airways"
"246","US","AirTran Airways"
"247","US","Alaska Airlines"
"248","US","Alaska Airlines"
"249","US","Alaska Airlines"
"250","Canada","Alaska Airlines"
"251","Canada","Alaska Airlines"
"252","Canada","Alaska Airlines"
"253","Mexico","Alaska Airlines"
"254","Mexico","Alaska Airlines"
"255","Mexico","Alaska Airlines"
"256","Asia","All Nippon Airways"
"257","Asia","All Nippon Airways"
"258","US","American Airlines"
"259","US","American Airlines"
"260","US","American Eagle Airlines"
"261","US","American Eagle Airlines"
"262","Asia","Asiana Airlines"
"263","Asia","Asiana Airlines"
"264","Europe","BelAir Airlines"
"265","Europe","BelAir Airlines"
"266","Europe","British Airways"
"267","Europe","British Airways"
"268","Asia","Cathay Pacific"
"269","Asia","Cathay Pacific"
"270","Asia","China Airlines"
"271","Asia","China Airlines"
"272","US","Delta Air Lines"
"273","US","Delta Air Lines"
"274","US","Delta Air Lines"
"275","US","Delta Air Lines"
"276","Asia","EVA Airways"
"277","Asia","EVA Airways"
"278","US","Frontier Airlines"
"279","US","Frontier Airlines"
"280","US","Hawaiian Airlines"
"281","US","Hawaiian Airlines"
"282","US","Horizon Air "
"283","US","Horizon Air "
"284","Europe","Icelandair"
"285","Europe","Icelandair"
"286","US","Independence Air"
"287","US","Independence Air"
"288","Asia","Japan Airlines"
"289","Asia","Japan Airlines"
"290","Europe","KLM Royal Dutch Airlines"
"291","Europe","KLM Royal Dutch Airlines"
"292","Asia","Korean Air Lines"
"293","Asia","Korean Air Lines"
"294","Europe","Lufthansa German Airlines"
"295","Europe","Lufthansa German Airlines"
"296","US","Mesa Airlines"
"297","US","Mesa Airlines"
"298","Mexico","Mexicana Airlines"
"299","Mexico","Mexicana Airlines"
"300","US","Midwest Airlines"
"301","US","Midwest Airlines"
"302","US","Northwest Airlines"
"303","US","Northwest Airlines"
"304","Asia","Northwest Airlines"
"305","Asia","Northwest Airlines"
"306","Asia","Philippine Airlines"
"307","Asia","Philippine Airlines"
"308","Asia","Singapore Airlines"
"309","Asia","Singapore Airlines"
"310","US","SkyWest Airlines"
"311","US","SkyWest Airlines"
"312","US","SkyWest Airlines"
"313","US","SkyWest Airlines"
"314","Canada","SkyWest Airlines"
"315","Canada","SkyWest Airlines"
"316","US","Sun Country Airlines"
"317","US","Sun Country Airlines"
"318","Central America","TACA"
"319","Central America","TACA"
"320","US","US Airways"
"321","US","US Airways"
"322","US","US Airways"
"323","US","US Airways"
"324","US","United Airlines"
"325","US","United Airlines"
"326","US","United Airlines - Pre 07/01/2013"
"327","US","United Airlines - Pre 07/01/2013"
"328","US","United Airlines - Pre 07/01/2013"
"329","US","United Airlines - Pre 07/01/2013"
"330","US","United Airlines - Pre 07/01/2013"
"331","US","United Airlines - Pre 07/01/2013"
"332","US","United Airlines - Pre 07/01/2013"
"333","US","United Airlines - Pre 07/01/2013"
"334","Asia","United Airlines - Pre 07/01/2013"
"335","Asia","United Airlines - Pre 07/01/2013"
"336","Asia","United Airlines - Pre 07/01/2013"
"337","Australia / Oceania","United Airlines - Pre 07/01/2013"
"338","Australia / Oceania","United Airlines - Pre 07/01/2013"
"339","Australia / Oceania","United Airlines - Pre 07/01/2013"
"340","Canada","United Airlines - Pre 07/01/2013"
"341","Canada","United Airlines - Pre 07/01/2013"
"342","Canada","United Airlines - Pre 07/01/2013"
"343","Europe","United Airlines - Pre 07/01/2013"
"344","Europe","United Airlines - Pre 07/01/2013"
"345","Europe","United Airlines - Pre 07/01/2013"
"346","Mexico","United Airlines - Pre 07/01/2013"
"347","Mexico","United Airlines - Pre 07/01/2013"
"348","Mexico","United Airlines - Pre 07/01/2013"
"349","Europe","Virgin Atlantic"
"350","Europe","Virgin Atlantic"
"351","Canada","WestJet Airlines"
"352","Canada","WestJet Airlines"
"353","US","ATA Airlines"
"354","US","ATA Airlines"
"355","US","ATA Airlines"
"356","Canada","Air Canada "
"357","Canada","Air Canada "
"358","Asia","Air China"
"359","Asia","Air China"
"360","Europe","Air France"
"361","Europe","Air France"
"362","Australia / Oceania","Air New Zealand"
"363","Australia / Oceania","Air New Zealand"
"364","US","AirTran Airways"
"365","US","AirTran Airways"
"366","US","Alaska Airlines"
"367","US","Alaska Airlines"
"368","US","Alaska Airlines"
"369","Canada","Alaska Airlines"
"370","Canada","Alaska Airlines"
"371","Canada","Alaska Airlines"
"372","Mexico","Alaska Airlines"
"373","Mexico","Alaska Airlines"
"374","Mexico","Alaska Airlines"
"375","Asia","All Nippon Airways"
"376","Asia","All Nippon Airways"
"377","US","American Airlines"
"378","US","American Airlines"
"379","US","American Eagle Airlines"
"380","US","American Eagle Airlines"
"381","Asia","Asiana Airlines"
"382","Asia","Asiana Airlines"
"383","Europe","British Airways"
"384","Europe","British Airways"
"385","Asia","Cathay Pacific"
"386","Asia","Cathay Pacific"
"387","Asia","China Airlines"
"388","Asia","China Airlines"
"389","US","Delta Air Lines"
"390","US","Delta Air Lines"
"391","US","Delta Air Lines"
