"","GEO.Region","Operating.Airline"
"2793","US","Delta Air Lines"
"2794","Asia","EVA Airways"
"2795","Asia","EVA Airways"
"2796","US","ExpressJet Airlines"
"2797","US","ExpressJet Airlines"
"2798","US","Frontier Airlines"
"2799","US","Frontier Airlines"
"2800","US","Hawaiian Airlines"
"2801","US","Hawaiian Airlines"
"2802","US","Horizon Air "
"2803","US","Horizon Air "
"2804","Asia","Japan Airlines"
"2805","Asia","Japan Airlines"
"2806","US","JetBlue Airways "
"2807","US","JetBlue Airways "
"2808","Europe","KLM Royal Dutch Airlines"
"2809","Europe","KLM Royal Dutch Airlines"
"2810","Asia","Korean Air Lines"
"2811","Asia","Korean Air Lines"
"2812","Europe","Lufthansa German Airlines"
"2813","Europe","Lufthansa German Airlines"
"2814","US","Mesa Airlines"
"2815","US","Mesa Airlines"
"2816","Mexico","Mexicana Airlines"
"2817","Mexico","Mexicana Airlines"
"2818","US","Miami Air International"
"2819","US","Midwest Airlines"
"2820","US","Midwest Airlines"
"2821","US","Northwest Airlines"
"2822","US","Northwest Airlines"
"2823","Asia","Northwest Airlines"
"2824","Asia","Northwest Airlines"
"2825","Asia","Philippine Airlines"
"2826","Asia","Philippine Airlines"
"2827","Australia / Oceania","Qantas Airways"
"2828","Australia / Oceania","Qantas Airways"
"2829","Asia","Singapore Airlines"
"2830","Asia","Singapore Airlines"
"2831","US","SkyWest Airlines"
"2832","US","SkyWest Airlines"
"2833","US","SkyWest Airlines"
"2834","US","SkyWest Airlines"
"2835","Canada","SkyWest Airlines"
"2836","Canada","SkyWest Airlines"
"2837","US","Spirit Airlines"
"2838","US","Spirit Airlines"
"2839","US","Sun Country Airlines"
"2840","US","Sun Country Airlines"
"2841","Central America","TACA"
"2842","Central America","TACA"
"2843","US","US Airways"
"2844","US","United Airlines"
"2845","US","United Airlines"
"2846","US","United Airlines - Pre 07/01/2013"
"2847","US","United Airlines - Pre 07/01/2013"
"2848","US","United Airlines - Pre 07/01/2013"
"2849","US","United Airlines - Pre 07/01/2013"
"2850","US","United Airlines - Pre 07/01/2013"
"2851","US","United Airlines - Pre 07/01/2013"
"2852","US","United Airlines - Pre 07/01/2013"
"2853","US","United Airlines - Pre 07/01/2013"
"2854","US","United Airlines - Pre 07/01/2013"
"2855","US","United Airlines - Pre 07/01/2013"
"2856","Asia","United Airlines - Pre 07/01/2013"
"2857","Asia","United Airlines - Pre 07/01/2013"
"2858","Asia","United Airlines - Pre 07/01/2013"
"2859","Australia / Oceania","United Airlines - Pre 07/01/2013"
"2860","Australia / Oceania","United Airlines - Pre 07/01/2013"
"2861","Australia / Oceania","United Airlines - Pre 07/01/2013"
"2862","Canada","United Airlines - Pre 07/01/2013"
"2863","Canada","United Airlines - Pre 07/01/2013"
"2864","Europe","United Airlines - Pre 07/01/2013"
"2865","Europe","United Airlines - Pre 07/01/2013"
"2866","Europe","United Airlines - Pre 07/01/2013"
"2867","Mexico","United Airlines - Pre 07/01/2013"
"2868","Mexico","United Airlines - Pre 07/01/2013"
"2869","Mexico","United Airlines - Pre 07/01/2013"
"2870","Europe","Virgin Atlantic"
"2871","Europe","Virgin Atlantic"
"2872","US","ATA Airlines"
"2873","Canada","Air Canada "
"2874","Canada","Air Canada "
"2875","Asia","Air China"
"2876","Asia","Air China"
"2877","Europe","Air France"
"2878","Europe","Air France"
"2879","Australia / Oceania","Air New Zealand"
"2880","Australia / Oceania","Air New Zealand"
"2881","US","AirTran Airways"
"2882","US","AirTran Airways"
"2883","US","Alaska Airlines"
"2884","US","Alaska Airlines"
"2885","US","Alaska Airlines"
"2886","Canada","Alaska Airlines"
"2887","Canada","Alaska Airlines"
"2888","Canada","Alaska Airlines"
"2889","Mexico","Alaska Airlines"
"2890","Mexico","Alaska Airlines"
"2891","Mexico","Alaska Airlines"
"2892","Asia","All Nippon Airways"
"2893","Asia","All Nippon Airways"
"2894","US","American Airlines"
"2895","US","American Airlines"
"2896","US","American Eagle Airlines"
"2897","US","American Eagle Airlines"
"2898","Asia","Asiana Airlines"
"2899","Asia","Asiana Airlines"
"2900","Europe","British Airways"
"2901","Europe","British Airways"
"2902","Asia","Cathay Pacific"
"2903","Asia","Cathay Pacific"
"2904","Asia","China Airlines"
"2905","Asia","China Airlines"
"2906","US","Delta Air Lines"
"2907","US","Delta Air Lines"
"2908","Asia","EVA Airways"
"2909","Asia","EVA Airways"
"2910","US","ExpressJet Airlines"
"2911","US","ExpressJet Airlines"
"2912","US","Frontier Airlines"
"2913","US","Frontier Airlines"
"2914","US","Hawaiian Airlines"
"2915","US","Hawaiian Airlines"
"2916","US","Horizon Air "
"2917","US","Horizon Air "
"2918","Asia","Japan Airlines"
"2919","Asia","Japan Airlines"
"2920","US","JetBlue Airways "
"2921","US","JetBlue Airways "
"2922","Europe","KLM Royal Dutch Airlines"
"2923","Europe","KLM Royal Dutch Airlines"
"2924","Asia","Korean Air Lines"
"2925","Asia","Korean Air Lines"
"2926","Europe","Lufthansa German Airlines"
"2927","Europe","Lufthansa German Airlines"
"2928","US","Mesa Airlines"
"2929","US","Mesa Airlines"
"2930","Mexico","Mexicana Airlines"
"2931","Mexico","Mexicana Airlines"
"2932","US","Midwest Airlines"
"2933","US","Midwest Airlines"
"2934","US","Northwest Airlines"
"2935","US","Northwest Airlines"
"2936","Asia","Northwest Airlines"
"2937","Asia","Northwest Airlines"
"2938","Asia","Philippine Airlines"
"2939","Asia","Philippine Airlines"
"2940","Australia / Oceania","Qantas Airways"
"2941","Australia / Oceania","Qantas Airways"
"2942","Asia","Singapore Airlines"
"2943","Asia","Singapore Airlines"
"2944","US","SkyWest Airlines"
"2945","US","SkyWest Airlines"
"2946","US","SkyWest Airlines"
"2947","US","SkyWest Airlines"
"2948","Canada","SkyWest Airlines"
"2949","Canada","SkyWest Airlines"
"2950","US","Southwest Airlines"
"2951","US","Southwest Airlines"
"2952","US","Spirit Airlines"
"2953","US","Spirit Airlines"
"2954","US","Sun Country Airlines"
"2955","US","Sun Country Airlines"
"2956","Central America","TACA"
"2957","Central America","TACA"
"2958","US","US Airways"
"2959","US","US Airways"
"2960","US","US Airways"
"2961","US","US Airways"
"2962","US","United Airlines"
"2963","US","United Airlines"
"2964","US","United Airlines - Pre 07/01/2013"
"2965","US","United Airlines - Pre 07/01/2013"
"2966","US","United Airlines - Pre 07/01/2013"
"2967","US","United Airlines - Pre 07/01/2013"
"2968","US","United Airlines - Pre 07/01/2013"
"2969","US","United Airlines - Pre 07/01/2013"
"2970","US","United Airlines - Pre 07/01/2013"
"2971","US","United Airlines - Pre 07/01/2013"
"2972","US","United Airlines - Pre 07/01/2013"
"2973","US","United Airlines - Pre 07/01/2013"
"2974","Asia","United Airlines - Pre 07/01/2013"
"2975","Asia","United Airlines - Pre 07/01/2013"
"2976","Asia","United Airlines - Pre 07/01/2013"
"2977","Australia / Oceania","United Airlines - Pre 07/01/2013"
"2978","Australia / Oceania","United Airlines - Pre 07/01/2013"
"2979","Australia / Oceania","United Airlines - Pre 07/01/2013"
"2980","Canada","United Airlines - Pre 07/01/2013"
"2981","Canada","United Airlines - Pre 07/01/2013"
"2982","Europe","United Airlines - Pre 07/01/2013"
"2983","Europe","United Airlines - Pre 07/01/2013"
"2984","Europe","United Airlines - Pre 07/01/2013"
"2985","Mexico","United Airlines - Pre 07/01/2013"
"2986","Mexico","United Airlines - Pre 07/01/2013"
"2987","Mexico","United Airlines - Pre 07/01/2013"
"2988","US","Virgin America"
"2989","US","Virgin America"
"2990","Europe","Virgin Atlantic"
"2991","Europe","Virgin Atlantic"
"2992","Canada","ATA Airlines"
"2993","Canada","Air Canada "
"2994","Canada","Air Canada "
"2995","Asia","Air China"
"2996","Asia","Air China"
"2997","Europe","Air France"
"2998","Europe","Air France"
"2999","Australia / Oceania","Air New Zealand"
"3000","Australia / Oceania","Air New Zealand"
"3001","US","AirTran Airways"
"3002","US","AirTran Airways"
"3003","US","Alaska Airlines"
"3004","US","Alaska Airlines"
"3005","US","Alaska Airlines"
"3006","Canada","Alaska Airlines"
"3007","Canada","Alaska Airlines"
"3008","Canada","Alaska Airlines"
"3009","Mexico","Alaska Airlines"
"3010","Mexico","Alaska Airlines"
"3011","Mexico","Alaska Airlines"
"3012","Asia","All Nippon Airways"
"3013","Asia","All Nippon Airways"
"3014","US","American Airlines"
"3015","US","American Airlines"
"3016","US","American Eagle Airlines"
"3017","US","American Eagle Airlines"
"3018","Asia","Asiana Airlines"
"3019","Asia","Asiana Airlines"
"3020","Europe","British Airways"
"3021","Europe","British Airways"
"3022","Asia","Cathay Pacific"
"3023","Asia","Cathay Pacific"
"3024","Asia","China Airlines"
"3025","Asia","China Airlines"
"3026","US","Delta Air Lines"
"3027","US","Delta Air Lines"
"3028","Asia","EVA Airways"
"3029","Asia","EVA Airways"
"3030","US","ExpressJet Airlines"
"3031","US","ExpressJet Airlines"
"3032","Asia","Air China"
"3033","US","Frontier Airlines"
"3034","US","Frontier Airlines"
"3035","US","Hawaiian Airlines"
"3036","US","Hawaiian Airlines"
"3037","US","Horizon Air "
"3038","US","Horizon Air "
"3039","Asia","Japan Airlines"
"3040","Asia","Japan Airlines"
"3041","US","JetBlue Airways "
"3042","US","JetBlue Airways "
"3043","Europe","KLM Royal Dutch Airlines"
"3044","Europe","KLM Royal Dutch Airlines"
"3045","Asia","Korean Air Lines"
"3046","Asia","Korean Air Lines"
"3047","Europe","Lufthansa German Airlines"
"3048","Europe","Lufthansa German Airlines"
"3049","US","Mesa Airlines"
"3050","US","Mesa Airlines"
"3051","Mexico","Mexicana Airlines"
"3052","Mexico","Mexicana Airlines"
"3053","US","Midwest Airlines"
"3054","US","Midwest Airlines"
"3055","US","Northwest Airlines"
"3056","US","Northwest Airlines"
"3057","Asia","Northwest Airlines"
"3058","Asia","Northwest Airlines"
"3059","Asia","Philippine Airlines"
"3060","Asia","Philippine Airlines"
"3061","Australia / Oceania","Qantas Airways"
"3062","Australia / Oceania","Qantas Airways"
"3063","Asia","Singapore Airlines"
"3064","Asia","Singapore Airlines"
"3065","US","SkyWest Airlines"
"3066","US","SkyWest Airlines"
"3067","US","SkyWest Airlines"
"3068","US","SkyWest Airlines"
"3069","Canada","SkyWest Airlines"
"3070","Canada","SkyWest Airlines"
"3071","US","Southwest Airlines"
"3072","US","Southwest Airlines"
"3073","US","Spirit Airlines"
"3074","US","Spirit Airlines"
"3075","US","Sun Country Airlines"
"3076","US","Sun Country Airlines"
"3077","Central America","TACA"
"3078","Central America","TACA"
"3079","US","US Airways"
"3080","US","US Airways"
"3081","US","US Airways"
"3082","US","US Airways"
"3083","US","United Airlines"
"3084","US","United Airlines"
"3085","US","United Airlines - Pre 07/01/2013"
"3086","US","United Airlines - Pre 07/01/2013"
"3087","US","United Airlines - Pre 07/01/2013"
"3088","US","United Airlines - Pre 07/01/2013"
"3089","US","United Airlines - Pre 07/01/2013"
"3090","US","United Airlines - Pre 07/01/2013"
"3091","US","United Airlines - Pre 07/01/2013"
"3092","US","United Airlines - Pre 07/01/2013"
"3093","US","United Airlines - Pre 07/01/2013"
"3094","US","United Airlines - Pre 07/01/2013"
"3095","Asia","United Airlines - Pre 07/01/2013"
"3096","Asia","United Airlines - Pre 07/01/2013"
"3097","Asia","United Airlines - Pre 07/01/2013"
"3098","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3099","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3100","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3101","Canada","United Airlines - Pre 07/01/2013"
"3102","Canada","United Airlines - Pre 07/01/2013"
"3103","Canada","United Airlines - Pre 07/01/2013"
"3104","Europe","United Airlines - Pre 07/01/2013"
"3105","Europe","United Airlines - Pre 07/01/2013"
"3106","Europe","United Airlines - Pre 07/01/2013"
"3107","Mexico","United Airlines - Pre 07/01/2013"
"3108","Mexico","United Airlines - Pre 07/01/2013"
"3109","Mexico","United Airlines - Pre 07/01/2013"
"3110","US","Virgin America"
"3111","US","Virgin America"
"3112","Europe","Virgin Atlantic"
"3113","Europe","Virgin Atlantic"
"3114","US","ATA Airlines"
"3115","US","ATA Airlines"
"3116","Europe","Aer Lingus"
"3117","Europe","Aer Lingus"
"3118","Canada","Air Canada "
"3119","Canada","Air Canada "
"3120","Asia","Air China"
"3121","Asia","Air China"
"3122","Europe","Air France"
"3123","Europe","Air France"
"3124","Australia / Oceania","Air New Zealand"
"3125","Australia / Oceania","Air New Zealand"
"3126","US","AirTran Airways"
"3127","US","AirTran Airways"
"3128","US","Alaska Airlines"
"3129","US","Alaska Airlines"
"3130","US","Alaska Airlines"
"3131","Canada","Alaska Airlines"
"3132","Canada","Alaska Airlines"
"3133","Canada","Alaska Airlines"
"3134","Mexico","Alaska Airlines"
"3135","Mexico","Alaska Airlines"
"3136","Mexico","Alaska Airlines"
"3137","Asia","All Nippon Airways"
"3138","Asia","All Nippon Airways"
"3139","US","American Airlines"
"3140","US","American Airlines"
"3141","US","American Eagle Airlines"
"3142","US","American Eagle Airlines"
"3143","Asia","Asiana Airlines"
"3144","Asia","Asiana Airlines"
"3145","Europe","British Airways"
"3146","Europe","British Airways"
"3147","Asia","Cathay Pacific"
"3148","Asia","Cathay Pacific"
"3149","Asia","China Airlines"
"3150","Asia","China Airlines"
"3151","US","Delta Air Lines"
"3152","US","Delta Air Lines"
"3153","Asia","EVA Airways"
"3154","Asia","EVA Airways"
"3155","US","ExpressJet Airlines"
"3156","US","ExpressJet Airlines"
"3157","US","Frontier Airlines"
"3158","US","Frontier Airlines"
"3159","US","Hawaiian Airlines"
"3160","US","Hawaiian Airlines"
"3161","US","Horizon Air "
"3162","US","Horizon Air "
"3163","Asia","Japan Airlines"
"3164","Asia","Japan Airlines"
"3165","US","JetBlue Airways "
"3166","US","JetBlue Airways "
"3167","Europe","KLM Royal Dutch Airlines"
"3168","Europe","KLM Royal Dutch Airlines"
"3169","Asia","Korean Air Lines"
"3170","Asia","Korean Air Lines"
"3171","Europe","Lufthansa German Airlines"
"3172","Europe","Lufthansa German Airlines"
"3173","US","Mesa Airlines"
"3174","US","Mesa Airlines"
"3175","Mexico","Mexicana Airlines"
"3176","Mexico","Mexicana Airlines"
"3177","US","Miami Air International"
"3178","US","Miami Air International"
"3179","US","Midwest Airlines"
"3180","US","Midwest Airlines"
"3181","US","Northwest Airlines"
"3182","US","Northwest Airlines"
"3183","Asia","Northwest Airlines"
"3184","Asia","Northwest Airlines"
"3185","Asia","Philippine Airlines"
"3186","Asia","Philippine Airlines"
"3187","Australia / Oceania","Qantas Airways"
"3188","Australia / Oceania","Qantas Airways"
"3189","Asia","Singapore Airlines"
"3190","Asia","Singapore Airlines"
"3191","US","SkyWest Airlines"
"3192","US","SkyWest Airlines"
"3193","US","SkyWest Airlines"
"3194","US","SkyWest Airlines"
"3195","Canada","SkyWest Airlines"
"3196","Canada","SkyWest Airlines"
"3197","US","Southwest Airlines"
"3198","US","Southwest Airlines"
"3199","US","Southwest Airlines"
"3200","US","Sun Country Airlines"
"3201","US","Sun Country Airlines"
"3202","Central America","TACA"
"3203","Central America","TACA"
"3204","US","US Airways"
"3205","US","US Airways"
"3206","US","United Airlines"
"3207","US","United Airlines"
"3208","US","United Airlines - Pre 07/01/2013"
"3209","US","United Airlines - Pre 07/01/2013"
"3210","US","United Airlines - Pre 07/01/2013"
"3211","US","United Airlines - Pre 07/01/2013"
"3212","US","United Airlines - Pre 07/01/2013"
"3213","US","United Airlines - Pre 07/01/2013"
"3214","US","United Airlines - Pre 07/01/2013"
"3215","US","United Airlines - Pre 07/01/2013"
"3216","US","United Airlines - Pre 07/01/2013"
"3217","US","United Airlines - Pre 07/01/2013"
"3218","Asia","United Airlines - Pre 07/01/2013"
"3219","Asia","United Airlines - Pre 07/01/2013"
"3220","Asia","United Airlines - Pre 07/01/2013"
"3221","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3222","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3223","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3224","Canada","United Airlines - Pre 07/01/2013"
"3225","Canada","United Airlines - Pre 07/01/2013"
"3226","Canada","United Airlines - Pre 07/01/2013"
"3227","Europe","United Airlines - Pre 07/01/2013"
"3228","Europe","United Airlines - Pre 07/01/2013"
"3229","Europe","United Airlines - Pre 07/01/2013"
"3230","Mexico","United Airlines - Pre 07/01/2013"
"3231","Mexico","United Airlines - Pre 07/01/2013"
"3232","Mexico","United Airlines - Pre 07/01/2013"
"3233","US","Virgin America"
"3234","US","Virgin America"
"3235","Europe","Virgin Atlantic"
"3236","Europe","Virgin Atlantic"
"3237","Europe","Aer Lingus"
"3238","Europe","Aer Lingus"
"3239","Canada","Air Canada "
"3240","Canada","Air Canada "
"3241","Asia","Air China"
"3242","Asia","Air China"
"3243","Europe","Air France"
"3244","Europe","Air France"
"3245","Australia / Oceania","Air New Zealand"
"3246","Australia / Oceania","Air New Zealand"
"3247","US","AirTran Airways"
"3248","US","AirTran Airways"
"3249","US","Alaska Airlines"
"3250","US","Alaska Airlines"
"3251","US","Alaska Airlines"
"3252","Canada","Alaska Airlines"
"3253","Canada","Alaska Airlines"
"3254","Canada","Alaska Airlines"
"3255","Mexico","Alaska Airlines"
"3256","Mexico","Alaska Airlines"
"3257","Mexico","Alaska Airlines"
"3258","Asia","All Nippon Airways"
"3259","Asia","All Nippon Airways"
"3260","US","American Airlines"
"3261","US","American Airlines"
"3262","US","American Eagle Airlines"
"3263","US","American Eagle Airlines"
"3264","US","Ameriflight"
"3265","Asia","Asiana Airlines"
"3266","Asia","Asiana Airlines"
"3267","Europe","British Airways"
"3268","Europe","British Airways"
"3269","Asia","Cathay Pacific"
"3270","Asia","Cathay Pacific"
"3271","Asia","China Airlines"
"3272","Asia","China Airlines"
"3273","US","Delta Air Lines"
"3274","US","Delta Air Lines"
"3275","Asia","EVA Airways"
"3276","Asia","EVA Airways"
"3277","US","ExpressJet Airlines"
"3278","US","ExpressJet Airlines"
"3279","US","Frontier Airlines"
"3280","US","Frontier Airlines"
"3281","US","Hawaiian Airlines"
"3282","US","Hawaiian Airlines"
"3283","US","Horizon Air "
"3284","US","Horizon Air "
"3285","Asia","Japan Airlines"
"3286","Asia","Japan Airlines"
"3287","US","JetBlue Airways "
"3288","US","JetBlue Airways "
"3289","Europe","KLM Royal Dutch Airlines"
"3290","Europe","KLM Royal Dutch Airlines"
"3291","Asia","Korean Air Lines"
"3292","Asia","Korean Air Lines"
"3293","Europe","Lufthansa German Airlines"
"3294","Europe","Lufthansa German Airlines"
"3295","US","Mesa Airlines"
"3296","US","Mesa Airlines"
"3297","Mexico","Mexicana Airlines"
"3298","Mexico","Mexicana Airlines"
"3299","US","Midwest Airlines"
"3300","US","Midwest Airlines"
"3301","US","Northwest Airlines"
"3302","US","Northwest Airlines"
"3303","Asia","Northwest Airlines"
"3304","Asia","Northwest Airlines"
"3305","Asia","Philippine Airlines"
"3306","Asia","Philippine Airlines"
"3307","Australia / Oceania","Qantas Airways"
"3308","Australia / Oceania","Qantas Airways"
"3309","Asia","Singapore Airlines"
"3310","Asia","Singapore Airlines"
"3311","US","SkyWest Airlines"
"3312","US","SkyWest Airlines"
"3313","US","SkyWest Airlines"
"3314","US","SkyWest Airlines"
"3315","Canada","SkyWest Airlines"
"3316","Canada","SkyWest Airlines"
"3317","US","Southwest Airlines"
"3318","US","Southwest Airlines"
"3319","US","Southwest Airlines"
"3320","US","Sun Country Airlines"
"3321","US","Sun Country Airlines"
"3322","Central America","TACA"
"3323","Central America","TACA"
"3324","US","US Airways"
"3325","US","US Airways"
"3326","US","United Airlines"
"3327","US","United Airlines"
"3328","US","United Airlines - Pre 07/01/2013"
"3329","US","United Airlines - Pre 07/01/2013"
"3330","US","United Airlines - Pre 07/01/2013"
"3331","US","United Airlines - Pre 07/01/2013"
"3332","US","United Airlines - Pre 07/01/2013"
"3333","US","United Airlines - Pre 07/01/2013"
"3334","US","United Airlines - Pre 07/01/2013"
"3335","US","United Airlines - Pre 07/01/2013"
"3336","US","United Airlines - Pre 07/01/2013"
"3337","US","United Airlines - Pre 07/01/2013"
"3338","Asia","United Airlines - Pre 07/01/2013"
"3339","Asia","United Airlines - Pre 07/01/2013"
"3340","Asia","United Airlines - Pre 07/01/2013"
"3341","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3342","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3343","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3344","Canada","United Airlines - Pre 07/01/2013"
"3345","Canada","United Airlines - Pre 07/01/2013"
"3346","Europe","United Airlines - Pre 07/01/2013"
"3347","Europe","United Airlines - Pre 07/01/2013"
"3348","Europe","United Airlines - Pre 07/01/2013"
"3349","Mexico","United Airlines - Pre 07/01/2013"
"3350","Mexico","United Airlines - Pre 07/01/2013"
"3351","Mexico","United Airlines - Pre 07/01/2013"
"3352","US","Virgin America"
"3353","US","Virgin America"
"3354","Europe","Virgin Atlantic"
"3355","Europe","Virgin Atlantic"
"3356","Europe","Aer Lingus"
"3357","Europe","Aer Lingus"
"3358","Canada","Air Canada "
"3359","Canada","Air Canada "
"3360","Asia","Air China"
"3361","Asia","Air China"
"3362","Europe","Air France"
"3363","Europe","Air France"
"3364","Australia / Oceania","Air New Zealand"
"3365","Australia / Oceania","Air New Zealand"
"3366","US","AirTran Airways"
"3367","US","AirTran Airways"
"3368","US","Alaska Airlines"
"3369","US","Alaska Airlines"
"3370","US","Alaska Airlines"
"3371","Canada","Alaska Airlines"
"3372","Canada","Alaska Airlines"
"3373","Canada","Alaska Airlines"
"3374","Mexico","Alaska Airlines"
"3375","Mexico","Alaska Airlines"
"3376","Mexico","Alaska Airlines"
"3377","Asia","All Nippon Airways"
"3378","Asia","All Nippon Airways"
"3379","US","American Airlines"
"3380","US","American Airlines"
"3381","US","American Eagle Airlines"
"3382","US","American Eagle Airlines"
"3383","US","Ameriflight"
"3384","Asia","Asiana Airlines"
"3385","Asia","Asiana Airlines"
"3386","Europe","British Airways"
"3387","Europe","British Airways"
"3388","Asia","Cathay Pacific"
"3389","Asia","Cathay Pacific"
"3390","Asia","China Airlines"
"3391","Asia","China Airlines"
"3392","US","Delta Air Lines"
"3393","US","Delta Air Lines"
"3394","Asia","EVA Airways"
"3395","Asia","EVA Airways"
"3396","US","ExpressJet Airlines"
"3397","US","ExpressJet Airlines"
"3398","US","Frontier Airlines"
"3399","US","Frontier Airlines"
"3400","US","Hawaiian Airlines"
"3401","US","Hawaiian Airlines"
"3402","US","Horizon Air "
"3403","US","Horizon Air "
"3404","Asia","Japan Airlines"
"3405","Asia","Japan Airlines"
"3406","US","JetBlue Airways "
"3407","US","JetBlue Airways "
"3408","Europe","KLM Royal Dutch Airlines"
"3409","Europe","KLM Royal Dutch Airlines"
"3410","Asia","Korean Air Lines"
"3411","Asia","Korean Air Lines"
"3412","US","US Airways"
"3413","Europe","Lufthansa German Airlines"
"3414","Europe","Lufthansa German Airlines"
"3415","US","Mesa Airlines"
"3416","US","Mesa Airlines"
"3417","Mexico","Mexicana Airlines"
"3418","Mexico","Mexicana Airlines"
"3419","US","Midwest Airlines"
"3420","US","Midwest Airlines"
"3421","US","Northwest Airlines"
"3422","US","Northwest Airlines"
"3423","Asia","Northwest Airlines"
"3424","Asia","Northwest Airlines"
"3425","Asia","Philippine Airlines"
"3426","Asia","Philippine Airlines"
"3427","Australia / Oceania","Qantas Airways"
"3428","Australia / Oceania","Qantas Airways"
"3429","Asia","Singapore Airlines"
"3430","Asia","Singapore Airlines"
"3431","US","SkyWest Airlines"
"3432","US","SkyWest Airlines"
"3433","US","SkyWest Airlines"
"3434","US","SkyWest Airlines"
"3435","Canada","SkyWest Airlines"
"3436","Canada","SkyWest Airlines"
"3437","US","Southwest Airlines"
"3438","US","Southwest Airlines"
"3439","US","Southwest Airlines"
"3440","US","Sun Country Airlines"
"3441","US","Sun Country Airlines"
"3442","Central America","TACA"
"3443","Central America","TACA"
"3444","US","US Airways"
"3445","US","United Airlines"
"3446","US","United Airlines"
"3447","US","United Airlines - Pre 07/01/2013"
"3448","US","United Airlines - Pre 07/01/2013"
"3449","US","United Airlines - Pre 07/01/2013"
"3450","US","United Airlines - Pre 07/01/2013"
"3451","US","United Airlines - Pre 07/01/2013"
"3452","US","United Airlines - Pre 07/01/2013"
"3453","US","United Airlines - Pre 07/01/2013"
"3454","US","United Airlines - Pre 07/01/2013"
"3455","US","United Airlines - Pre 07/01/2013"
"3456","US","United Airlines - Pre 07/01/2013"
"3457","Asia","United Airlines - Pre 07/01/2013"
"3458","Asia","United Airlines - Pre 07/01/2013"
"3459","Asia","United Airlines - Pre 07/01/2013"
"3460","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3461","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3462","Australia / Oceania","United Airlines - Pre 07/01/2013"
"3463","Canada","United Airlines - Pre 07/01/2013"
"3464","Canada","United Airlines - Pre 07/01/2013"
"3465","Europe","United Airlines - Pre 07/01/2013"
"3466","Europe","United Airlines - Pre 07/01/2013"
"3467","Europe","United Airlines - Pre 07/01/2013"
"3468","Mexico","United Airlines - Pre 07/01/2013"
"3469","Mexico","United Airlines - Pre 07/01/2013"
"3470","Mexico","United Airlines - Pre 07/01/2013"
"3471","US","Virgin America"
"3472","US","Virgin America"
"3473","Europe","Virgin Atlantic"
"3474","Europe","Virgin Atlantic"
"3475","Europe","Aer Lingus"
"3476","Europe","Aer Lingus"
"3477","Canada","Air Canada "
"3478","Canada","Air Canada "
"3479","Asia","Air China"
"3480","Asia","Air China"
"3481","Europe","Air France"
"3482","Europe","Air France"
"3483","Australia / Oceania","Air New Zealand"
"3484","Australia / Oceania","Air New Zealand"
"3485","US","AirTran Airways"
"3486","US","AirTran Airways"
"3487","US","Alaska Airlines"
"3488","US","Alaska Airlines"
"3489","US","Alaska Airlines"
"3490","Canada","Alaska Airlines"
"3491","Canada","Alaska Airlines"
"3492","Canada","Alaska Airlines"
"3493","Mexico","Alaska Airlines"
"3494","Mexico","Alaska Airlines"
"3495","Mexico","Alaska Airlines"
"3496","Asia","All Nippon Airways"
"3497","Asia","All Nippon Airways"
"3498","US","American Airlines"
"3499","US","American Airlines"
"3500","US","American Eagle Airlines"
"3501","US","American Eagle Airlines"
"3502","US","Ameriflight"
"3503","US","Ameriflight"
"3504","Asia","Asiana Airlines"
"3505","Asia","Asiana Airlines"
"3506","Europe","British Airways"
"3507","Europe","British Airways"
"3508","Asia","Cathay Pacific"
"3509","Asia","Cathay Pacific"
"3510","Asia","China Airlines"
"3511","Asia","China Airlines"
"3512","US","Delta Air Lines"
"3513","US","Delta Air Lines"
"3514","Asia","EVA Airways"
"3515","Asia","EVA Airways"
"3516","US","ExpressJet Airlines"
"3517","US","ExpressJet Airlines"
"3518","US","Frontier Airlines"
"3519","US","Frontier Airlines"
"3520","US","Hawaiian Airlines"
"3521","US","Hawaiian Airlines"
"3522","US","Horizon Air "
"3523","US","Horizon Air "
"3524","Asia","Japan Airlines"
"3525","Asia","Japan Airlines"
"3526","US","JetBlue Airways "
"3527","US","JetBlue Airways "
"3528","Europe","KLM Royal Dutch Airlines"
"3529","Europe","KLM Royal Dutch Airlines"
"3530","Asia","Korean Air Lines"
"3531","Asia","Korean Air Lines"
"3532","Europe","Lufthansa German Airlines"
"3533","Europe","Lufthansa German Airlines"
"3534","Mexico","Mexicana Airlines"
"3535","Mexico","Mexicana Airlines"
"3536","US","Midwest Airlines"
"3537","US","Midwest Airlines"
"3538","US","Northwest Airlines"
"3539","US","Northwest Airlines"
"3540","Asia","Northwest Airlines"
"3541","Asia","Northwest Airlines"
"3542","Asia","Philippine Airlines"
"3543","Asia","Philippine Airlines"
"3544","Australia / Oceania","Qantas Airways"
"3545","Australia / Oceania","Qantas Airways"
