"","GEO.Summary","Operating.Airline"
"5249","International","United Airlines - Pre 07/01/2013"
"5250","Domestic","Virgin America"
"5251","Domestic","Virgin America"
"5252","International","Virgin Atlantic"
"5253","International","Virgin Atlantic"
"5254","International","Aer Lingus"
"5255","International","Aer Lingus"
"5256","International","Aeromexico"
"5257","International","Aeromexico"
"5258","International","Air Canada "
"5259","International","Air Canada "
"5260","International","Air China"
"5261","International","Air China"
"5262","International","Air France"
"5263","International","Air France"
"5264","International","Air New Zealand"
"5265","International","Air New Zealand"
"5266","Domestic","AirTran Airways"
"5267","Domestic","AirTran Airways"
"5268","Domestic","Alaska Airlines"
"5269","Domestic","Alaska Airlines"
"5270","International","Alaska Airlines"
"5271","International","Alaska Airlines"
"5272","International","All Nippon Airways"
"5273","International","All Nippon Airways"
"5274","Domestic","American Airlines"
"5275","Domestic","American Airlines"
"5276","Domestic","American Eagle Airlines"
"5277","Domestic","American Eagle Airlines"
"5278","International","Asiana Airlines"
"5279","International","Asiana Airlines"
"5280","International","British Airways"
"5281","International","British Airways"
"5282","International","Cathay Pacific"
"5283","International","Cathay Pacific"
"5284","International","China Airlines"
"5285","International","China Airlines"
"5286","Domestic","Delta Air Lines"
"5287","Domestic","Delta Air Lines"
"5288","International","EVA Airways"
"5289","International","EVA Airways"
"5290","International","Emirates "
"5291","International","Emirates "
"5292","Domestic","Frontier Airlines"
"5293","Domestic","Frontier Airlines"
"5294","Domestic","Hawaiian Airlines"
"5295","Domestic","Hawaiian Airlines"
"5296","Domestic","Horizon Air "
"5297","Domestic","Horizon Air "
"5298","International","Japan Airlines"
"5299","International","Japan Airlines"
"5300","Domestic","JetBlue Airways "
"5301","Domestic","JetBlue Airways "
"5302","International","KLM Royal Dutch Airlines"
"5303","International","KLM Royal Dutch Airlines"
"5304","International","Korean Air Lines"
"5305","International","Korean Air Lines"
"5306","International","Lufthansa German Airlines"
"5307","International","Lufthansa German Airlines"
"5308","Domestic","Mesaba Airlines"
"5309","Domestic","Mesaba Airlines"
"5310","International","Mexicana Airlines"
"5311","International","Mexicana Airlines"
"5312","Domestic","Midwest Airlines"
"5313","Domestic","Midwest Airlines"
"5314","Domestic","Northwest Airlines"
"5315","Domestic","Northwest Airlines"
"5316","Domestic","Northwest Airlines"
"5317","International","Northwest Airlines"
"5318","International","Northwest Airlines"
"5319","International","Philippine Airlines"
"5320","International","Philippine Airlines"
"5321","International","Qantas Airways"
"5322","International","Qantas Airways"
"5323","International","Singapore Airlines"
"5324","International","Singapore Airlines"
"5325","Domestic","SkyWest Airlines"
"5326","Domestic","SkyWest Airlines"
"5327","Domestic","SkyWest Airlines"
"5328","Domestic","SkyWest Airlines"
"5329","International","SkyWest Airlines"
"5330","International","SkyWest Airlines"
"5331","International","SkyWest Airlines"
"5332","Domestic","Southwest Airlines"
"5333","Domestic","Southwest Airlines"
"5334","Domestic","Southwest Airlines"
"5335","Domestic","Sun Country Airlines"
"5336","Domestic","Sun Country Airlines"
"5337","International","TACA"
"5338","International","TACA"
"5339","Domestic","US Airways"
"5340","Domestic","US Airways"
"5341","Domestic","United Airlines"
"5342","Domestic","United Airlines"
"5343","Domestic","United Airlines - Pre 07/01/2013"
"5344","Domestic","United Airlines - Pre 07/01/2013"
"5345","Domestic","United Airlines - Pre 07/01/2013"
"5346","Domestic","United Airlines - Pre 07/01/2013"
"5347","Domestic","United Airlines - Pre 07/01/2013"
"5348","Domestic","United Airlines - Pre 07/01/2013"
"5349","Domestic","United Airlines - Pre 07/01/2013"
"5350","Domestic","United Airlines - Pre 07/01/2013"
"5351","International","United Airlines - Pre 07/01/2013"
"5352","International","United Airlines - Pre 07/01/2013"
"5353","International","United Airlines - Pre 07/01/2013"
